date_id,day_of_week,month_name,year
D101,Friday,12,2024
D102,Monday,12,2024
D103,Saturday,12,2024
D104,Sunday,12,2024
D105,Thursday,12,2024
D106,Tuesday,12,2024
D107,Wednesday,12,2024
D108,Friday,11,2024
D109,Monday,11,2024
D110,Saturday,11,2024
D111,Sunday,11,2024
D112,Thursday,11,2024
D113,Tuesday,11,2024
D114,Wednesday,11,2024
D115,Friday,10,2024
D116,Monday,10,2024
D117,Saturday,10,2024
D118,Sunday,10,2024
D119,Thursday,10,2024
D120,Tuesday,10,2024
D121,Wednesday,10,2024
D122,Friday,9,2024
D123,Monday,9,2024
D124,Saturday,9,2024
D125,Sunday,9,2024
D126,Thursday,9,2024
D127,Tuesday,9,2024
D128,Wednesday,9,2024
D129,Friday,8,2024
D130,Monday,8,2024
D131,Saturday,8,2024
D132,Sunday,8,2024
D133,Thursday,8,2024
D134,Tuesday,8,2024
D135,Wednesday,8,2024
D136,Friday,7,2024
D137,Monday,7,2024
D138,Saturday,7,2024
D139,Sunday,7,2024
D140,Thursday,7,2024
D141,Tuesday,7,2024
D142,Wednesday,7,2024
D143,Friday,6,2024
D144,Monday,6,2024
D145,Saturday,6,2024
D146,Sunday,6,2024
D147,Thursday,6,2024
D148,Tuesday,6,2024
D149,Wednesday,6,2024
D150,Friday,5,2024
D151,Monday,5,2024
D152,Saturday,5,2024
D153,Sunday,5,2024
D154,Thursday,5,2024
D155,Tuesday,5,2024
D156,Wednesday,5,2024
D157,Friday,4,2024
D158,Monday,4,2024
D159,Saturday,4,2024
D160,Sunday,4,2024
D161,Thursday,4,2024
D162,Tuesday,4,2024
D163,Wednesday,4,2024
D164,Friday,3,2024
D165,Monday,3,2024
D166,Saturday,3,2024
D167,Sunday,3,2024
D168,Thursday,3,2024
D169,Tuesday,3,2024
D170,Wednesday,3,2024
D171,Friday,2,2024
D172,Monday,2,2024
D173,Saturday,2,2024
D174,Sunday,2,2024
D175,Thursday,2,2024
D176,Tuesday,2,2024
D177,Wednesday,2,2024
D178,Friday,1,2024
D179,Monday,1,2024
D180,Saturday,1,2024
D181,Sunday,1,2024
D182,Thursday,1,2024
D183,Tuesday,1,2024
D184,Wednesday,1,2024
D185,Friday,12,2023
D186,Monday,12,2023
