location_id,lga_name,sa4_name,state_name,remoteness_area
L101,Wagga Wagga,Riverina,NSW,Inner Regional Australia
L102,Hawkesbury,Sydney - Baulkham Hills and Hawkesbury,NSW,Inner Regional Australia
L103,Northern Midlands,Launceston and North East,Tas,Inner Regional Australia
L104,Armidale Regional,New England and North West,NSW,Outer Regional Australia
L105,Lockyer Valley,Toowoomba,Qld,Inner Regional Australia
L106,Wakefield,Barossa - Yorke - Mid North,SA,Outer Regional Australia
L107,,,WA,
L108,Southern Downs,Darling Downs - Maranoa,Qld,Inner Regional Australia
L109,Brighton,Hobart,Tas,Inner Regional Australia
L110,West Tamar,Launceston and North East,Tas,Outer Regional Australia
L111,Mid Murray,South Australia - South East,SA,Outer Regional Australia
L112,Blue Mountains,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
L113,Upper Lachlan,Capital Region,NSW,Inner Regional Australia
L114,Wattle Range,South Australia - South East,SA,Outer Regional Australia
L115,Cairns,Cairns,Qld,Outer Regional Australia
L116,Unincorporated ACT,Australian Capital Territory,ACT,Major Cities of Australia
L117,Wollongong,Illawarra,NSW,Major Cities of Australia
L118,Penrith,Sydney - Outer West and Blue Mountains,NSW,Major Cities of Australia
L119,Upper Hunter,Hunter Valley exc Newcastle,NSW,Outer Regional Australia
L120,South Burnett,Wide Bay,Qld,Outer Regional Australia
L121,Mid-Western Regional,Central West,NSW,Outer Regional Australia
L122,Canterbury-Bankstown,Sydney - Inner South West,NSW,Major Cities of Australia
L123,,,NT,
L124,Mitchell,Hume,Vic,Inner Regional Australia
L125,Greater Hume,Murray,NSW,Outer Regional Australia
L126,Southern Downs,Darling Downs - Maranoa,Qld,Outer Regional Australia
L127,Barossa,Barossa - Yorke - Mid North,SA,Inner Regional Australia
L128,Port Macquarie-Hastings,Mid North Coast,NSW,Inner Regional Australia
L129,Douglas,Cairns,Qld,Outer Regional Australia
L130,Mackay,Mackay - Isaac - Whitsunday,Qld,Outer Regional Australia
L131,Yankalilla,South Australia - South East,SA,Inner Regional Australia
L132,Logan,Logan - Beaudesert,Qld,Major Cities of Australia
L133,Dorset,Launceston and North East,Tas,Outer Regional Australia
L134,Armidale Regional,New England and North West,NSW,Inner Regional Australia
L135,Nambucca Valley,Mid North Coast,NSW,Inner Regional Australia
