crashkey,date_id,time_id,holiday_id,location_id,road_id,outcome_id,vehicle_id,gender_id,person_id,age_id,crash_count,fatality_count
101,D101,T101,H1,L101,R1,O1,V1,G1,P1,A1,1,1
102,D101,T102,H2,L102,R2,O1,V1,G2,P1,A2,1,1
103,D101,T103,H1,L103,R3,O2,V1,G2,P1,A3,1,1
104,D101,T104,H2,L104,R4,O2,V1,G2,P1,A4,1,1
105,D101,T105,H2,L105,R4,O2,V1,G2,P2,A5,1,1
106,D101,T106,H1,L106,R5,O1,V1,G1,P3,A6,1,1
107,D101,T107,H2,L107,R6,O1,V1,G1,P1,A7,1,1
108,D101,T108,H2,L108,R7,O2,V1,G2,P2,A8,1,1
109,D101,T109,H2,L109,R3,O2,V1,G1,P3,A2,1,1
110,D101,T110,H2,L110,R4,O2,V1,G2,P1,A9,1,1
111,D101,T111,H2,L111,R3,O1,V1,G2,P1,A10,1,1
112,D101,T112,H2,L112,R8,O1,V1,G1,P4,A11,1,1
113,D101,T113,H2,L113,R9,O2,V2,G1,P1,A10,1,1
114,D102,T114,H2,L114,R10,O1,V1,G1,P1,A5,1,1
115,D102,T115,H2,L115,R11,O1,V1,G1,P4,A1,1,1
116,D102,T116,H1,L116,R12,O1,V1,G2,P1,A12,1,1
117,D102,T117,H2,L117,R13,O1,V2,G1,P1,A13,1,1
118,D102,T118,H1,L118,R14,O1,V1,G1,P4,A14,1,1
119,D102,T119,H2,L119,R4,O2,V1,G1,P1,A15,1,1
120,D102,T120,H1,L120,R4,O2,V1,G1,P1,A16,1,1
121,D102,T121,H2,L121,R1,O1,V1,G1,P1,A15,1,1
122,D102,T122,H1,L107,R15,O1,V1,G2,P1,A17,1,1
123,D102,T123,H2,L122,R16,O1,V1,G2,P4,A18,1,1
124,D102,T124,H1,L123,R17,O1,V1,G2,P4,A19,1,1
125,D102,T125,H1,L107,R18,O1,V1,G1,P4,A3,1,1
126,D102,T126,H1,L107,R15,O3,V1,G2,P1,A20,1,2
127,D102,T126,H1,L107,R15,O3,V1,G2,P1,A10,1,2
128,D103,T127,H2,L124,R4,O1,V3,G1,P1,A21,1,1
129,D103,T128,H2,L125,R9,O2,V4,G1,P1,A4,1,1
130,D103,T101,H2,L126,R10,O1,V1,G1,P1,A13,1,1
131,D103,T129,H2,L107,R19,O1,V1,G1,P2,A22,1,1
132,D103,T130,H2,L107,R18,O1,V1,G1,P1,A23,1,1
133,D103,T131,H2,L127,R5,O2,V1,G1,P3,A7,1,1
134,D103,T132,H1,L114,R9,O4,V1,G2,P1,A24,1,2
135,D103,T132,H1,L114,R9,O4,V1,G2,P2,A25,1,2
136,D103,T133,H2,L107,R15,O1,V5,G2,P1,A26,1,1
137,D103,T134,H1,L128,R20,O2,V1,G1,P3,A7,1,1
138,D103,T120,H1,L129,R3,O2,V1,G1,P3,A27,1,1
139,D103,T120,H1,L130,R4,O4,V1,G2,P2,A25,1,2
140,D103,T120,H1,L130,R4,O4,V1,G1,P1,A28,1,2
141,D103,T135,H1,L131,R1,O2,V1,G1,P3,A9,1,1
142,D103,T136,H2,L132,R21,O2,V5,G1,P3,A29,1,1
143,D103,T137,H2,L107,R19,O1,V1,G1,P3,A30,1,1
144,D103,T138,H2,L133,R4,O1,V1,G2,P2,A16,1,1
145,D103,T139,H2,L134,R10,O4,V1,G1,P5,A5,1,2
146,D103,T139,H2,L134,R10,O4,V1,G2,P1,A31,1,2
147,D103,T140,H2,L107,R15,O1,V1,G1,P3,A10,1,1
